EMOTION100_001:えっ嘘でしょ。,エッウソデショ。
EMOTION100_053:しかしペパーバーグは、そのオウムを研究することによって、動物に対する考え方が変わったと言っている。,シカシペパーバーグワ、ソノオームヲケンキュウスルコトニヨッテ、ドーブツニタイスルカンガエカタガカワッタトイッテイル。
EMOTION100_054:パックマンがある条件を満たすと、追ってくるモンスターを逆襲して食べることができる。,パックマンガアルジョーケンヲミタスト、オッテクルモンスターヲギャクシュウシテタベルコトガデキル。
EMOTION100_055:その数百年後に、フォークが西洋のテーブルに現れることになるが、ただちに受け入れられたわけではなかった。,ソノスウヒャクネンゴニ、フォークガセーヨーノテーブルニアラワレルコトニナルガ、タダチニウケイレラレタワケデワナカッタ。
EMOTION100_056:トップのリーダーは犬の行動学ではアルファと呼ばれ、以下ベータ、ガンマと続きます。,トップノリーダーワイヌノコードーガクデワアルファトヨバレ、イカベータ、ガンマトツヅキマス。
EMOTION100_057:ウィーンまでは歩くとどのくらいかかりますか？,ウィーンマデワアルクトドノクライカカリマスカ？
EMOTION100_058:すみません、この辺に詳しくないんです。,スミマセン、コノヘンニクワシクナインデス。
EMOTION100_059:目標は授業設計をするときの、学生の思考を触発するメディア教材の選択および、活用方法について理解することである。,モクヒョーワジュギョーセッケーヲスルトキノ、ガクセーノシコーヲショクハツスルメディアキョーザイノセンタクオヨビ、カツヨーホーホーニツイテリカイスルコトデアル。
EMOTION100_060:とりあえず店の前、掃除しといてくれ。打ち水も頼む。,トリアエズミセノマエ、ソージシトイテクレ。ウチミズモタノム。
EMOTION100_061:人々はトーナメントが始まる何ヶ月も前に、これらの入場券を買う。,ヒトビトワトーナメントガハジマルナンカゲツモマエニ、コレラノニュウジョーケンヲカウ。
EMOTION100_062:彼女の魅力は言葉では表現できない、とその芸術家は叫んだ。,カノジョノミリョクワコトバデワヒョーゲンデキナイ、トソノゲージュツカワサケンダ。
EMOTION100_063:事象として簡単なことを、いかにも難しそうに表現する人は、あまり頭がよさそうではない。,ジショートシテカンタンナコトヲ、イカニモムズカシソーニヒョーゲンスルヒトワ、アマリアタマガヨサソーデワナイ。
EMOTION100_064:デザインも、アーチ型のロゴデザインにより、現代的で登場感、躍動感あるものに仕上げました。,デザインモ、アーチガタノロゴデザインニヨリ、ゲンダイテキデトージョーカン、ヤクドーカンアルモノニシアゲマシタ。
EMOTION100_065:そんなに慌てて運転して、一体どこへ行こうってんだよ。,ソンナニアワテテウンテンシテ、イッタイドコエイコーッテンダヨ。
EMOTION100_066:時間はあるんだから、安全運転してくれよ。,ジカンワアルンダカラ、アンゼンウンテンシテクレヨ。
EMOTION100_067:ディスプレイはモニタともいい、コンピュータなどの機器から出力される静止画、または動画の映像信号を表示する機器である。,ディスプレイワモニタトモイイ、コンピュータナドノキキカラシュツリョクサレルセーシガ、マタワドーガノエーゾーシンゴーヲヒョージスルキキデアル。
EMOTION100_068:撃ち合いが少し静まったとき、パパが走ってフラットに行って、私たちにサンドイッチを持ってきてくれたわ。,ウチアイガスコシシズマッタトキ、パパガハシッテフラットニイッテ、ワタシタチニサンドイッチヲモッテキテクレタワ。
EMOTION100_069:ギリシャのフットボールの試合では、一方のチームの選手は、相手チームの陣地のラインの向こう側にボールを持ち込もうとしたのです。,ギリシャノフットボールノシアイデワ、イッポーノチームノセンシュワ、アイテチームノジンチノラインノムコーガワニボールヲモチコモートシタノデス。
EMOTION100_070:泳者のシンディー・ニコラスは、へとへとになって泳ぎ切った後、ドーバーでかろうじて陸に上がってきたが、海峡水泳協会のスポークスマンは、彼女がとても元気であると発表した。,エーシャノシンディーニコラスワ、ヘトヘトニナッテオヨギキッタアト、ドーバーデカロージテリクニアガッテキタガ、カイキョースイエーキョーカイノスポークスマンワ、カノジョガトテモゲンキデアルトハッピョーシタ。
EMOTION100_071:若い男女が人里離れた洋館で恐怖の一夜を過ごすという、ホラーの定番スタイルだ。,ワカイダンジョガヒトザトハナレタヨーカンデキョーフノイチヤヲスゴストユウ、ホラーノテーバンスタイルダ。
EMOTION100_072:一つには、西洋人ではない人々が自分たち独自の文化に誇りを持ち始めてきたためと、また一つには、フォークを使わないそれらの地域は最も高い出生率の地域を抱えているという理由から、このことは当たっている。,ヒトツニワ、セーヨージンデワナイヒトビトガジブンタチドクジノブンカニホコリヲモチハジメテキタタメト、マタヒトツニワ、フォークヲツカワナイソレラノチイキワモットモタカイシュッショーリツノチイキヲカカエテイルトユウリユウカラ、コノコトワアタッテイル。
EMOTION100_073:私たちは恐怖の中で生きていて、苦しんでいるの。,ワタシタチワキョーフノナカデイキテイテ、クルシンデイルノ。
EMOTION100_074:太陽も花も楽しめないし、私たちの子供時代も楽しめないのよ。,タイヨーモハナモタノシメナイシ、ワタシタチノコドモジダイモタノシメナイノヨ。
EMOTION100_075:弊社のエンジニアが日本国内で販売されている同様の製品と仕様を比較した結果、非常に競合力があると判断いたしました。,ヘーシャノエンジニアガニホンコクナイデハンバイサレテイルドーヨーノセーヒントシヨーヲヒカクシタケッカ、ヒジョーニキョーゴーリョクガアルトハンダンイタシマシタ。
EMOTION100_076:ノースウエスタン大学の研究者、アイリーン・ペパーバーグは、オウムは人の口まねをするだけでなく言葉の意味を学ぶことができることを発見しつつある。,ノースウエスタンダイガクノケンキュウシャ、アイリーンペパーバーグワ、オームワヒトノクチマネヲスルダケデナクコトバノイミヲマナブコトガデキルコトヲハッケンシツツアル。
EMOTION100_077:名前をテョといいます。,ナマエヲテョトイイマス。
EMOTION100_078:ぴゅうぴゅう風が吹きこんでくる。,ピュウピュウカゼガフキコンデクル。
EMOTION100_079:キェー。ギェー。イェーイ。,キェー。ギェー。イェーイ。
EMOTION100_080:ひぇーん。びぇーん。ぴぇーん。,ヒェーン。ビェーン。ピェーン。
EMOTION100_081:プリミェー。ミェルン。ニェン。,プリミェー。ミェルン。ニェン。
EMOTION100_082:ステューデント。ダブルデュアル。,ステューデント。ダブルデュアル。
EMOTION100_083:エテュード。エデュケーショナル。サブスティテューション。,エテュード。エデュケーショナル。サブスティテューション。
EMOTION100_084:ジャデャクシュ。,ジャデャクシュ。
EMOTION100_085:ブレンドデョート。,ブレンドデョート。
EMOTION100_086:イデュスルファーゼ。,イデュスルファーゼ。
EMOTION100_087:あっあの。,アッアノ。
EMOTION100_088:いっいえ。,イッイエ。
EMOTION100_089:えっえぇ。,エッエェ。
EMOTION100_090:おっおい。,オッオイ。
EMOTION100_091:んーとね。,ンートネ。
EMOTION100_092:アンツィオ。,アンツィオ。
EMOTION100_093:エンツォ。,エンツォ。
EMOTION100_094:カートゥーン。,カートゥーン。
EMOTION100_095:スィーディー。,スィーディー。
EMOTION100_096:ズィーブラ。,ズィーブラ。
EMOTION100_097:デピュティーガバナー。,デピュティーガバナー。
EMOTION100_098:エリュシオン。,エリュシオン。
EMOTION100_099:ガリェント。,ガリェント。
EMOTION100_100:ラーテャン。,ラーテャン。
