EMOTION100_001:えっ嘘(うそ)でしょ。,エッウソデショ。
EMOTION100_072:一(ひと)つには、西洋人(せいようじん)ではない人々(ひとびと)が自分(じぶん)たち独自(どくじ)の文化(ぶんか)に誇(ほこ)りを持(も)ち始(はじ)めてきたためと、また一(ひと)つには、フォークを使(つか)わないそれらの地域(ちいき)は最(もっと)も高(たか)い出生率(しゅっしょうりつ)の地域(ちいき)を抱(かか)えているという理由(りゆう)から、このことは当(あ)たっている。,ヒトツニワ、セーヨージンデワナイヒトビトガジブンタチドクジノブンカニホコリヲモチハジメテキタタメト、マタヒトツニワ、フォークヲツカワナイソレラノチイキワモットモタカイシュッショーリツノチイキヲカカエテイルトユウリユウカラ、コノコトワアタッテイル。
EMOTION100_073:私(わたし)たちは恐怖(きょうふ)の中(なか)で生(い)きていて、苦(くる)しんでいるの。,ワタシタチワキョーフノナカデイキテイテ、クルシンデイルノ。
EMOTION100_074:太陽(たいよう)も花(はな)も楽(たの)しめないし、私(わたし)たちの子供(こども)時代(じだい)も楽(たの)しめないのよ。,タイヨーモハナモタノシメナイシ、ワタシタチノコドモジダイモタノシメナイノヨ。
EMOTION100_075:弊社(へいしゃ)のエンジニアが日本(にほん)国内(こくない)で販売(はんばい)されている同様(どうよう)の製品(せいひん)と仕様(しよう)を比較(ひかく)した結果(けっか)、非常(ひじょう)に競合力(きょうごうりょく)があると判断(はんだん)いたしました。,ヘーシャノエンジニアガニホンコクナイデハンバイサレテイルドーヨーノセーヒントシヨーヲヒカクシタケッカ、ヒジョーニキョーゴーリョクガアルトハンダンイタシマシタ。
EMOTION100_076:ノースウエスタン大学(だいがく)の研究者(けんきゅうしゃ)、アイリーン・ペパーバーグは、オウムは人(ひと)の口(くち)まねをするだけでなく言葉(ことば)の意味(いみ)を学(まな)ぶことができることを発見(はっけん)しつつある。,ノースウエスタンダイガクノケンキュウシャ、アイリーンペパーバーグワ、オームワヒトノクチマネヲスルダケデナクコトバノイミヲマナブコトガデキルコトヲハッケンシツツアル。
EMOTION100_077:名前(なまえ)をテョといいます。,ナマエヲテョトイイマス。
EMOTION100_078:ぴゅうぴゅう風(かぜ)が吹(ふ)きこんでくる。,ピュウピュウカゼガフキコンデクル。
EMOTION100_079:キェー。ギェー。イェーイ。,キェー。ギェー。イェーイ。
EMOTION100_080:ひぇーん。びぇーん。ぴぇーん。,ヒェーン。ビェーン。ピェーン。
EMOTION100_081:プリミェー。ミェルン。ニェン。,プリミェー。ミェルン。ニェン。
EMOTION100_082:ステューデント。ダブルデュアル。,ステューデント。ダブルデュアル。
EMOTION100_083:エテュード。エデュケーショナル。サブスティテューション。,エテュード。エデュケーショナル。サブスティテューション。
EMOTION100_084:ジャデャクシュ。,ジャデャクシュ。
EMOTION100_085:ブレンドデョート。,ブレンドデョート。
EMOTION100_086:イデュスルファーゼ。,イデュスルファーゼ。
EMOTION100_087:あっあの。,アッアノ。
EMOTION100_088:いっいえ。,イッイエ。
EMOTION100_089:えっえぇ。,エッエェ。
EMOTION100_090:おっおい。,オッオイ。
EMOTION100_091:んーとね。,ンートネ。
EMOTION100_092:アンツィオ。,アンツィオ。
EMOTION100_093:エンツォ。,エンツォ。
EMOTION100_094:カートゥーン。,カートゥーン。
EMOTION100_095:スィーディー。,スィーディー。
EMOTION100_096:ズィーブラ。,ズィーブラ。
EMOTION100_097:デピュティーガバナー。,デピュティーガバナー。
EMOTION100_098:エリュシオン。,エリュシオン。
EMOTION100_099:ガリェント。,ガリェント。
EMOTION100_100:ラーテャン。,ラーテャン。
