RECITATION324_001:女の子がキッキッ嬉しそう。,オンナノコガキッキッウレシソー。
RECITATION324_047:ソプラノ歌手ポリランダチョは歌劇アイーダの特別名歌手と評判です。,ソプラノカシュポリランダチョワカゲキアイーダノトクベツメーカシュトヒョーバンデス。
RECITATION324_048:貴方には最初百ポンド渡します。,アナタニワサイショヒャクポンドワタシマス。
RECITATION324_049:社長からの指示です。,シャチョーカラノシジデス。
RECITATION324_050:どうも気まぐれというものは多少メフィスティックなものであるらしい。,ドーモキマグレトユウモノワタショーメフィスティックナモノデアルラシイ。
RECITATION324_051:蛙がピョコピョコ飛び回っています。,カエルガピョコピョコトビマワッテイマス。
RECITATION324_052:魔境に足を踏み入れる。,マキョーニアシヲフミイレル。
RECITATION324_053:ヴァンダーヴォットタイム中は、いわゆるパーティーのようで晴れやかです。,ヴァンダーヴォットタイムチュウワ、イワユルパーティーノヨーデハレヤカデス。
RECITATION324_054:スピリッツとは蒸留酒の事です。,スピリッツトワジョーリュウシュノコトデス。
RECITATION324_055:ヌルシアのベネディクトゥスはアポロン神殿を壊し、ベネディクト会の修道院を建てた。,ヌルシアノベネディクトゥスワアポロンシンデンヲコワシ、ベネディクトカイノシュウドーインヲタテタ。
RECITATION324_056:ちょうどそのとき、デストゥパーゴがコップをもって立ちあがりました。,チョードソノトキ、デストゥパーゴガコップヲモッテタチアガリマシタ。
RECITATION324_057:パフィーのグッズが残らず部屋に落ち着いた。,パフィーノグッズガノコラズヘヤニオチツイタ。
RECITATION324_058:エピファーノフは財布を無くした。,エピファーノフワサイフヲナクシタ。
RECITATION324_059:ポピュラーなソフトを使いセキュアな状態を復旧する。,ポピュラーナソフトヲツカイセキュアナジョータイヲフッキュウスル。
RECITATION324_060:チョコの在庫あったかな？,チョコノザイコアッタカナ？
RECITATION324_061:おめえ、この仕込みにゃあ、どのくれえ時間かかるか知ってっか。,オメエ、コノシコミニャア、ドノクレエジカンカカルカシッテッカ。
RECITATION324_062:それに、このほうが体のためにゃずっといいんだからね。,ソレニ、コノホーガカラダノタメニャズットイインダカラネ。
RECITATION324_063:夏休みに、トラアヴェミュンへ旅行した。,ナツヤスミニ、トラアヴェミュンエリョコーシタ。
RECITATION324_064:ここで一緒にウェイクフィールドの叔母を待った。,ココデイッショニウェイクフィールドノオバヲマッタ。
RECITATION324_065:八つになるウォルターと一緒に出た兄弟がいたが、ウォルターだけ発見された。,ヤッツニナルウォルタートイッショニデタキョーダイガイタガ、ウォルターダケハッケンサレタ。
RECITATION324_066:最初のジョブはウォーリアがいいと思います。,サイショノジョブワウォーリアガイイトオモイマス。
RECITATION324_067:およそ六百メートル先を右折です。,オヨソロッピャクメートルサキヲウセツデス。
RECITATION324_068:新店オープンのレセプションに沢山のお客さんを招待した。,シンテンオープンノレセプションニタクサンノオキャクサンヲショータイシタ。
RECITATION324_069:脚本作者ピエール・オービュルナンの給仕クレマンが、主人の書斎の戸を大切そうに開いた。,キャクホンサクシャピエールオービュルナンノキュウジクレマンガ、シュジンノショサイノトヲタイセツソーニヒライタ。
RECITATION324_070:われわれは、天主教徒か長老教会派のもので、天主教徒が多数を占めている。,ワレワレワ、テンシュキョートカチョーローキョーカイハノモノデ、テンシュキョートガタスウヲシメテイル。
RECITATION324_071:結局のところお互い五十歩百歩だ。,ケッキョクノトコロオタガイゴジッポヒャッポダ。
RECITATION324_072:突拍子もない話だが、決して嘘ではない。,トッピョーシモナイハナシダガ、ケッシテウソデワナイ。
RECITATION324_073:ネットで懸案の解決を目指す。,ネットデケンアンノカイケツヲメザス。
RECITATION324_074:切れ味鋭いペティナイフは使い勝手が良い。,キレアジスルドイペティナイフワツカイガッテガヨイ。
RECITATION324_075:指をくわえてぴゅーと一声口笛を吹いた。,ユビヲクワエテピュートヒトコエクチブエヲフイタ。
RECITATION324_076:クレンペ教頭は無骨な男だが、自分の学問の秘密には深く浸っていた。,クレンペキョートーワブコツナオトコダガ、ジブンノガクモンノヒミツニワフカクヒタッテイタ。
RECITATION324_077:尻尾ふりたて、ひげくいそらす。,シッポフリタテ、ヒゲクイソラス。
RECITATION324_078:すべての獲物を望みどおりに狙う技術がある。,スベテノエモノヲノゾミドオリニネラウギジュツガアル。
RECITATION324_079:タコのグニャグニャした感触が嫌だ。,タコノグニャグニャシタカンショクガイヤダ。
RECITATION324_080:私たちは、抽象的意識的自己を否定することで、本当の自己とは身心一如だということを知る。,ワタシタチワ、チュウショーテキイシキテキジコヲヒテースルコトデ、ホントーノジコトワシンジンイチニョダトユウコトヲシル。
RECITATION324_081:鹿島明神が釘で刺し貫いて、魚が動かないようにしている。,カシマミョージンガクギデサシツラヌイテ、サカナガウゴカナイヨーニシテイル。
RECITATION324_082:私は手始めに、同業者から話を聞く努力をした。,ワタシワテハジメニ、ドーギョーシャカラハナシヲキクドリョクヲシタ。
RECITATION324_083:とてもうれしそうにぴょんぴょん跳ねて出ていった。,トテモウレシソーニピョンピョンハネテデテイッタ。
RECITATION324_084:二分だけのオルガン演奏で終わってしまった。,ニフンダケノオルガンエンソーデオワッテシマッタ。
RECITATION324_085:ニセ教会に騙されるな。,ニセキョーカイニダマサレルナ。
RECITATION324_086:およそ百年前には、薬剤として薬屋で売っていた。,オヨソヒャクネンマエニワ、ヤクザイトシテクスリヤデウッテイタ。
RECITATION324_087:いっそ脚本家を目指した方がいいかとも考えた。,イッソキャクホンカヲメザシタホーガイイカトモカンガエタ。
RECITATION324_088:この書物に誤謬があっても、純一でない何ものにもインフェクトしないでしょう。,コノショモツニゴビュウガアッテモ、ジュンイツデナイナニモノニモインフェクトシナイデショー。
RECITATION324_089:仏教はインド由来の宗教です。,ブッキョーワインドユライノシュウキョーデス。
RECITATION324_090:キャリーバッグは旅行に必須。,キャリーバッグワリョコーニヒッス。
RECITATION324_091:本番前はメチャメチャ不安になる。,ホンバンマエワメチャメチャフアンニナル。
RECITATION324_092:三角関数においてピュタゴラスの定理は必須です。,サンカクカンスウニオイテピュタゴラスノテーリワヒッスデス。
RECITATION324_093:著名なラニョン博士が患者と接していた。,チョメーナラニョンハカセガカンジャトセッシテイタ。
RECITATION324_094:おもちゃの刀を持った少年が、お百度石に寄りかかっている。,オモチャノカタナヲモッタショーネンガ、オヒャクドイシニヨリカカッテイル。
RECITATION324_095:食料の補給が急務であると伝えられた。,ショクリョーノホキュウガキュウムデアルトツタエラレタ。
RECITATION324_096:展示会であの作品のみ不評だった。,テンジカイデアノサクヒンノミフヒョーダッタ。
RECITATION324_097:客人をもてなすのは当然です。,キャクジンヲモテナスノワトーゼンデス。
RECITATION324_098:旅行客が楽しめるように工夫しましょう。,リョコーキャクガタノシメルヨーニクフウシマショー。
RECITATION324_099:こんな冗談のようなニュースはない。,コンナジョーダンノヨーナニュースワナイ。
RECITATION324_100:小さい星をたくさん描いた、水飲みグラスはよくある。,チイサイホシヲタクサンエガイタ、ミズノミグラスワヨクアル。
RECITATION324_101:柄は、猫の尻尾でもあるように、尖端をぶるぶると震わせながら、動いていく。,エワ、ネコノシッポデモアルヨーニ、センタンヲブルブルトフルワセナガラ、ウゴイテイク。
RECITATION324_102:開店当初プリンが一番売れていた。,カイテントーショプリンガイチバンウレテイタ。
RECITATION324_103:ロナルドホープ大尉が大将のマンションへ急行しました。,ロナルドホープタイイガタイショーノマンションエキュウコーシマシタ。
RECITATION324_104:日刊センティナル紙のヘプバンです。,ニッカンセンティナルシノヘプバンデス。
RECITATION324_105:この宝石は、ひとつ百万円以上のお値段です。,コノホーセキワ、ヒトツヒャクマンエンイジョーノオネダンデス。
RECITATION324_106:チョウチョと仲良くなるんだから。,チョーチョトナカヨクナルンダカラ。
RECITATION324_107:宇宙では、エントロピーは無際限に増大している。,ウチュウデワ、エントロピーワムサイゲンニゾーダイシテイル。
RECITATION324_108:川の中流に集落がある。,カワノチュウリュウニシュウラクガアル。
RECITATION324_109:是非お話させて頂きたいと思います。,ゼヒオハナシサセテイタダキタイトオモイマス。
RECITATION324_110:お隣さんが蒟蒻を持っていらっしゃる。,オトナリサンガコンニャクヲモッテイラッシャル。
RECITATION324_111:パーティーは楽しむものです。,パーティーワタノシムモノデス。
RECITATION324_112:おてつと大きく書かれた番茶茶碗は、これらの人々の前に置かれた。,オテツトオオキクカカレタバンチャジャワンワ、コレラノヒトビトノマエニオカレタ。
RECITATION324_113:私のポケットの中には携帯電話が入っています。,ワタシノポケットノナカニワケータイデンワガハイッテイマス。
RECITATION324_114:彼は今度は牧場へ行って、沼地で小悪魔の尻尾一つ見つけました。,カレワコンドワボクジョーエイッテ、ヌマチデコアクマノシッポヒトツミツケマシタ。
RECITATION324_115:五行説による占いがあるという情報あり。,ゴギョーセツニヨルウラナイガアルトユウジョーホーアリ。
RECITATION324_116:テンプル君、既に真逆だと言った。,テンプルクン、スデニマギャクダトイッタ。
RECITATION324_117:世界中の様々なモニュメントを訪ね歩いた。,セカイジュウノサマザマナモニュメントヲタズネアルイタ。
RECITATION324_118:アンソニー・ホプキンスは有名な俳優です。,アンソニーホプキンスワユウメーナハイユウデス。
RECITATION324_119:彼女は出来るだけぴったりと耳をあてて聴きました。,カノジョワデキルダケピッタリトミミヲアテテキキマシタ。
RECITATION324_120:茶一つ参らぬか、まあいいで。,チャヒトツマイラヌカ、マアイイデ。
RECITATION324_121:ボヤですんでよかった。,ボヤデスンデヨカッタ。
RECITATION324_122:モンタギュ・ゴーシ卿がマンチェスターに来た。,モンタギュゴーシキョーガマンチェスターニキタ。
RECITATION324_123:ウィスキーの水割りをガッツリ飲んだ。,ウィスキーノミズワリヲガッツリノンダ。
RECITATION324_124:これやお祭りを若いものに見せるにゃ持ってこいだ。,コレヤオマツリヲワカイモノニミセルニャモッテコイダ。
RECITATION324_125:私はイメージカラーをピンクに決めた。,ワタシワイメージカラーヲピンクニキメタ。
RECITATION324_126:ムニャムニャ、もう食べれません。,ムニャムニャ、モータベレマセン。
RECITATION324_127:満洲は雨季以外には雨が少ないと言われているが、わたしが満洲にあるあいだは、大戦中のせいか、ずいぶん雨が多かった。,マンシュウワウキイガイニワアメガスクナイトイワレテイルガ、ワタシガマンシュウニアルアイダワ、タイセンチュウノセーカ、ズイブンアメガオオカッタ。
RECITATION324_128:均一居酒屋では一番売れても二人で八千円くらいだ。,キンイツイザカヤデワイチバンウレテモフタリデハッセンエンクライダ。
RECITATION324_129:願いをかなえる。,ネガイヲカナエル。
RECITATION324_130:最初辛かったけど、花や園芸が好きだったから、失意が癒やされないこともない。,サイショツラカッタケド、ハナヤエンゲーガスキダッタカラ、シツイガイヤサレナイコトモナイ。
RECITATION324_131:ペピス爺さんはもう寝るらしい。,ペピスジイサンワモーネルラシイ。
RECITATION324_132:直ぐウィルキンソンを呼びに行け。,スグウィルキンソンヲヨビニイケ。
RECITATION324_133:お昼前ジャスパーさん宅へ再びお邪魔しました。,オヒルマエジャスパーサンタクエフタタビオジャマシマシタ。
RECITATION324_134:その竜の百の頭が恐ろしい。,ソノリュウノヒャクノアタマガオソロシイ。
RECITATION324_135:必要なミョウバンの量はプリントに書いてあります。,ヒツヨーナミョーバンノリョーワプリントニカイテアリマス。
RECITATION324_136:マリー・ロジェはパヴェサンタンの家を出た。,マリーロジェワパヴェサンタンノイエヲデタ。
RECITATION324_137:読み進むにつれ、ますます興味が湧いた。,ヨミススムニツレ、マスマスキョーミガワイタ。
RECITATION324_138:笑いかけながら一二歩近寄った。,ワライカケナガライチニホチカヨッタ。
RECITATION324_139:地表を緑化して、温暖化を抑止する能力を強くする。,チヒョーヲリョクカシテ、オンダンカヲヨクシスルノーリョクヲツヨクスル。
RECITATION324_140:ハサミでプツッと切った切れ端をペットにあげた。,ハサミデプツットキッタキレハシヲペットニアゲタ。
RECITATION324_141:ホームランを打つ。,ホームランヲウツ。
RECITATION324_142:プレゼントをギャロウェイさんに渡してください。,プレゼントヲギャロウェイサンニワタシテクダサイ。
RECITATION324_143:ケプラーの法則について直接私に聞いてきた。,ケプラーノホーソクニツイテチョクセツワタシニキイテキタ。
RECITATION324_144:ウェンディーズはハンバーガー屋さんです。,ウェンディーズワハンバーガーヤサンデス。
RECITATION324_145:しかし氷河はアルプスだけにあるものではない。,シカシヒョーガワアルプスダケニアルモノデワナイ。
RECITATION324_146:この先百年も抹茶は衰退しない。,コノサキヒャクネンモマッチャワスイタイシナイ。
RECITATION324_147:自分を評価するのは会社であって、行き過ぎた自己表現は失脚につながる。,ジブンヲヒョーカスルノワカイシャデアッテ、イキスギタジコヒョーゲンワシッキャクニツナガル。
RECITATION324_148:夜に吹く風のヒュウヒュウという音が私を不安にさせる。,ヨルニフクカゼノヒュウヒュウトユウオトガワタシヲフアンニサセル。
RECITATION324_149:可愛い華奢な女の子。,カワイイキャシャナオンナノコ。
RECITATION324_150:水中の金魚をすくうためのポイ。,スイチュウノキンギョヲスクウタメノポイ。
RECITATION324_151:グレンエルギンはウィスキーの蒸留所です。,グレンエルギンワウィスキーノジョーリュウジョデス。
RECITATION324_152:一寸法師が、ヒョコヒョコと彼の方へ近づいた。,イッスンボーシガ、ヒョコヒョコトカレノホーエチカヅイタ。
RECITATION324_153:連中はリビングでぺちゃくちゃ喋って、警戒していない。,レンチュウワリビングデペチャクチャシャベッテ、ケーカイシテイナイ。
RECITATION324_154:平一郎はシャツ一枚になって絹物の布団の中へ潜りこんだ。,ヘーイチローワシャツイチマイニナッテキヌモノノフトンノナカエモグリコンダ。
RECITATION324_155:下京区に引っ越す。,シモギョークニヒッコス。
RECITATION324_156:彼の言葉に一種不思議な感覚を覚えた。,カレノコトバニイッシュフシギナカンカクヲオボエタ。
RECITATION324_157:この事業所には百人以上の人が勤めています。,コノジギョーショニワヒャクニンイジョーノヒトガツトメテイマス。
RECITATION324_158:わたしの家ばかりでなく、近所の住居といわず、商店といわず、バラックの家々ではみな草花を植えている。,ワタシノイエバカリデナク、キンジョノジュウキョトイワズ、ショーテントイワズ、バラックノイエイエデワミナクサバナヲウエテイル。
RECITATION324_159:どうせ私は馬の世話をせにゃならんから、外へ行こう。,ドーセワタシワウマノセワヲセニャナランカラ、ソトエイコー。
RECITATION324_160:ヤン・セチャンというお笑い芸人。,ヤンセチャントユウオワライゲーニン。
RECITATION324_161:男が妙な顔をして、一瞬残忍になった。,オトコガミョーナカオヲシテ、イッシュンザンニンニナッタ。
RECITATION324_162:普及活動に幻滅した。,フキュウカツドーニゲンメツシタ。
RECITATION324_163:雨がぽつぽつ降りだした。,アメガポツポツフリダシタ。
RECITATION324_164:ペリウィンクルやプランティンはブルーアイです。,ペリウィンクルヤプランティンワブルーアイデス。
RECITATION324_165:姫や侍女たちが、キンポウゲやタンポポの花を持って、彼の方へ駆け寄っていった。,ヒメヤジジョタチガ、キンポーゲヤタンポポノハナヲモッテ、カレノホーエカケヨッテイッタ。
RECITATION324_166:皆の協力のおかげで帰郷できた。,ミンナノキョーリョクノオカゲデキキョーデキタ。
RECITATION324_167:ウォルターとウォードが入室すると、ノラが真っ赤になった。,ウォルタートウォードガニュウシツスルト、ノラガマッカニナッタ。
RECITATION324_168:今の持ち札ではあがれずに終わる。,イマノモチフダデワアガレズニオワル。
RECITATION324_169:勉強中は話しかけないで。,ベンキョーチュウワハナシカケナイデ。
RECITATION324_170:レパードの花壇が枯れ果てた。,レパードノカダンガカレハテタ。
RECITATION324_171:蒸留酒にミョウバンを加える。,ジョーリュウシュニミョーバンヲクワエル。
RECITATION324_172:取っつきにくい女中が三人いる。,トッツキニクイジョチュウガサンニンイル。
RECITATION324_173:レインボーブリッジは東京の名所。,レインボーブリッジワトーキョーノメーショ。
RECITATION324_174:卑怯者は悪党です。,ヒキョーモノワアクトーデス。
RECITATION324_175:突然海へ飛び込んだ。,トツゼンウミエトビコンダ。
RECITATION324_176:仕事はどっさりとあります。,シゴトワドッサリトアリマス。
RECITATION324_177:葉巻パイプはありましたか。,ハマキパイプワアリマシタカ。
RECITATION324_178:八百屋に行って百円で大根を買った。,ヤオヤニイッテヒャクエンデダイコンヲカッタ。
RECITATION324_179:般若とは鬼女の能面の事です。,ハンニャトワキジョノノーメンノコトデス。
RECITATION324_180:日本へ行くには船か飛行機が必要です。,ニホンエイクニワフネカヒコーキガヒツヨーデス。
RECITATION324_181:しかしパーで回るのも難しい。,シカシパーデマワルノモムズカシイ。
RECITATION324_182:のぼせないように入浴するにはお湯の量と温度が大事。,ノボセナイヨーニニュウヨクスルニワオユノリョートオンドガダイジ。
RECITATION324_183:鬼太郎くんは冗談半分で盗みに入って怪我をした。,キタロークンワジョーダンハンブンデヌスミニハイッテケガヲシタ。
RECITATION324_184:バーニ医師がピシッと答えた。,バーニイシガピシットコタエタ。
RECITATION324_185:男の妙な動きが怪しい。,オトコノミョーナウゴキガアヤシイ。
RECITATION324_186:私の病気は先天性なのです。,ワタシノビョーキワセンテンセーナノデス。
RECITATION324_187:三国志の関羽という将軍はすごく有名です。,サンゴクシノカンウトユウショーグンワスゴクユウメーデス。
RECITATION324_188:過酷な業務に耐える。,カコクナギョームニタエル。
RECITATION324_189:町の女房らしい二人連れが、日傘を持って入ってきた。,マチノニョーボーラシイフタリヅレガ、ヒガサヲモッテハイッテキタ。
RECITATION324_190:名をツァウォツキイといった。,ナヲツァウォツキイトイッタ。
RECITATION324_191:飲み会の参加を拒否した。,ノミカイノサンカヲキョヒシタ。
RECITATION324_192:夫人が仰天したのも無理はない。,フジンガギョーテンシタノモムリワナイ。
RECITATION324_193:セファドールはめまいを抑える薬です。,セファドールワメマイヲオサエルクスリデス。
RECITATION324_194:明の一訓詁学者は、宋代典籍の一つにあげてある茶せんの形状を思い起こすに苦しんでいる。,ミンノイチクンコガクシャワ、ソーダイテンセキノヒトツニアゲテアルチャセンノケージョーヲオモイオコスニクルシンデイル。
RECITATION324_195:深海魚は見た目は悪いがおいしいことが多い。,シンカイギョワミタメワワルイガオイシイコトガオオイ。
RECITATION324_196:ニューヨークでイヴニングポストの記事に注目した。,ニューヨークデイヴニングポストノキジニチュウモクシタ。
RECITATION324_197:確かに牛乳とコーンフレークの相性は抜群だ。,タシカニギュウニュウトコーンフレークノアイショーワバツグンダ。
RECITATION324_198:その一は、明治三十七年の九月八日か九日の夜とおぼえている。,ソノイチワ、メージサンジュウナナネンノクガツヨーカカココノカノヨルトオボエテイル。
RECITATION324_199:マルメゾンの店主はジェシーとは仲良しだ。,マルメゾンノテンシュワジェシートワナカヨシダ。
RECITATION324_200:釣竿を肩にかけた処士あり。,ツリザオヲカタニカケタショシアリ。
RECITATION324_201:最新鋭機に乗り込む。,サイシンエーキニノリコム。
RECITATION324_202:誰かが後ろへ来て、変な声で叫んだのでぞっとした。,ダレカガウシロエキテ、ヘンナコエデサケンダノデゾットシタ。
RECITATION324_203:おおでらの石段の前に立ち止まって、その出て来るのを待ちあわせた。,オオデラノイシダンノマエニタチドマッテ、ソノデテクルノヲマチアワセタ。
RECITATION324_204:未解決の懸案を持って重役と対峙する。,ミカイケツノケンアンヲモッテジュウヤクトタイジスル。
RECITATION324_205:薄月の光が庭を照らす。,ウスヅキノヒカリガニワヲテラス。
RECITATION324_206:犯人がどっちの部屋へ入ったかわからない。,ハンニンガドッチノヘヤエハイッタカワカラナイ。
RECITATION324_207:渓谷から出た氷河が一本に合流する。,ケーコクカラデタヒョーガガイッポンニゴーリュウスル。
RECITATION324_208:ディスカッションを進める。,ディスカッションヲススメル。
RECITATION324_209:九頭竜明神を祭るために灯篭をながす。,クズリュウミョージンヲマツルタメニトーローヲナガス。
RECITATION324_210:今回の資料作りは深い思慮を必要としたが、先日やっと終了した。,コンカイノシリョーヅクリワフカイシリョヲヒツヨートシタガ、センジツヤットシュウリョーシタ。
RECITATION324_211:骨子をしっかりと組み立てる。,コッシヲシッカリトクミタテル。
RECITATION324_212:気球にのって空を楽しむ。,キキュウニノッテソラヲタノシム。
RECITATION324_213:批評ばかりでなく対案も出すべき。,ヒヒョーバカリデナクタイアンモダスベキ。
RECITATION324_214:かれらは幕のあいだに木戸の外を散歩しているのである。,カレラワマクノアイダニキドノソトヲサンポシテイルノデアル。
RECITATION324_215:過去の数々の奇病が治るようになりつつある。,カコノカズカズノキビョーガナオルヨーニナリツツアル。
RECITATION324_216:購入者はポンプの修理が必要なことに気がついた。,コーニュウシャワポンプノシュウリガヒツヨーナコトニキガツイタ。
RECITATION324_217:彼自身は、レジ業務につきたいと思っている。,カレジシンワ、レジギョームニツキタイトオモッテイル。
RECITATION324_218:地毛は金色なんです。,ジゲワキンイロナンデス。
RECITATION324_219:鉛筆は折れやすくて不便です。,エンピツワオレヤスクテフベンデス。
RECITATION324_220:ヒポクラテスは医学の父と呼ばれます。,ヒポクラテスワイガクノチチトヨバレマス。
RECITATION324_221:ところが商人は、国ざかいのすぐ近くへ住まって、やはり前と同じようにやっています。,トコロガショーニンワ、クニザカイノスグチカクエスマッテ、ヤハリマエトオナジヨーニヤッテイマス。
RECITATION324_222:今まで明るかった二階の窓は、急にまっくらになってしまいました。,イママデアカルカッタニカイノマドワ、キュウニマックラニナッテシマイマシタ。
RECITATION324_223:アスファルトに囲まれた中にケヤキの木が一本。,アスファルトニカコマレタナカニケヤキノキガイッポン。
RECITATION324_224:名札を用意する。,ナフダヲヨーイスル。
RECITATION324_225:マッチョな男性はモテるそう。,マッチョナダンセーワモテルソー。
RECITATION324_226:社務所の人の話に嘘はなかった。,シャムショノヒトノハナシニウソワナカッタ。
RECITATION324_227:行楽シーズンの京都は人でいっぱい。,コーラクシーズンノキョートワヒトデイッパイ。
RECITATION324_228:どこからかパチパチと音が聞こえる。,ドコカラカパチパチトオトガキコエル。
RECITATION324_229:プロ野球はどのチームが優勝するだろう？,プロヤキュウワドノチームガユウショースルダロー？
RECITATION324_230:しかし、これではまるで私が誘拐しましたと自首して出るようなもので、そんな馬鹿なことをするやつはあるまい。,シカシ、コレデワマルデワタシガユウカイシマシタトジシュシテデルヨーナモノデ、ソンナバカナコトヲスルヤツワアルマイ。
RECITATION324_231:切望しつつ、主を待つ。,セツボーシツツ、ヌシヲマツ。
RECITATION324_232:しばらくしてパチパチという音も止んだ。,シバラクシテパチパチトユウオトモヤンダ。
